antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({1542.0}),frozenset({959.0}),0.031061564255669617,0.0757419772332853,0.00788304850427979,0.2537878787878788,3.3506899087967046,1.0,0.005530384211596634,1.2385995838092014,0.7240439374422022,0.07969075230449005,0.1926365767663266,0.1789327743453957
frozenset({844.0}),frozenset({618.0}),0.022178427508309558,0.051210400917728036,0.00561814277730388,0.253315649867374,4.94656642650265,1.0,0.004482376612878579,1.2706702623588508,0.8159357408314752,0.08289930555555555,0.2130137694860216,0.18151135738630042
frozenset({1221.0}),frozenset({1404.0}),0.021413654145954055,0.02167838338676942,0.005412242256669706,0.25274725274725274,11.658952987311196,1.0,0.004948028852382029,1.3092245163500587,0.9342343766948471,0.14363778298204524,0.23618906649574117,0.25120401986073626
frozenset({1404.0}),frozenset({1221.0}),0.02167838338676942,0.021413654145954055,0.005412242256669706,0.24966078697421978,11.658952987311196,1.0,0.004948028852382029,1.3041919292846869,0.9344871761353237,0.14363778298204524,0.23324168970400525,0.25120401986073626
frozenset({126.0}),frozenset({959.0}),0.031414536576756774,0.0757419772332853,0.007824219784098597,0.24906367041198502,3.2883175157267006,1.0,0.0054448206699076775,1.2308074417890915,0.7184633057635738,0.07876813740005922,0.1875252244604498,0.1761823206428857
frozenset({57.0}),frozenset({396.0}),0.027884813365885226,0.017442715533723563,0.00694178898138071,0.24894514767932488,14.272155456414854,1.0,0.006455402114128601,1.3082363843736378,0.9566083437484454,0.18084291187739465,0.23561214781624978,0.32346076945517677
frozenset({196.0}),frozenset({317.0}),0.03726799423478542,0.019236991499249935,0.009265523428537812,0.24861878453038677,12.923995134066603,1.0,0.008548599340249149,1.3052801804311454,0.9583399531520521,0.19613947696139478,0.23388095905226164,0.3651350803385879
frozenset({1529.0}),frozenset({1483.0}),0.028884901608965497,0.059240521222460804,0.007147689502014883,0.24745417515274948,4.177110026150955,1.0,0.00543653287524027,1.2501025820832794,0.7832233633670691,0.08826734471485652,0.200065647145922,0.18405479363397156
frozenset({57.0}),frozenset({317.0}),0.027884813365885226,0.019236991499249935,0.006882960261199517,0.24683544303797467,12.831291371501566,1.0,0.006346540343521812,1.302189540698475,0.9485146763430523,0.17105263157894735,0.2320626385436831,0.30231680408779465
frozenset({57.0}),frozenset({5.0}),0.027884813365885226,0.03670912139306409,0.006824131541018325,0.24472573839662448,6.666619333549714,1.0,0.005800504542147108,1.2754186493287363,0.8743808827227283,0.11812627291242364,0.21594372128217787,0.2153115871470302
